Title,Date of Posting,Company Name,Company Website,Location,Job Link,Skills Required Keywords,Education
Data Analyst,2 days ago,FinTech LLC,https://www.linkedin.com/company/fintech-llc?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY 1 day ago",https://www.linkedin.com/jobs/view/data-analyst-at-fintech-llc-3724369200?refId=4KjBAK%2BjhLG4RhaVmTqm3w%3D%3D&trackingId=wOqAwzPhIYUpDwcIv9DqYA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,[],bachelor degree
Machine Learning Engineer,2 days ago,Plaxonic,https://in.linkedin.com/company/plaxonic?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, United States Be an early applicant 21 minutes ago",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-plaxonic-3726291116?refId=4KjBAK%2BjhLG4RhaVmTqm3w%3D%3D&trackingId=s9DvmkdCx48sZHtS05rRXw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,"['pipelinesBuild', 'model', 'quality', 'models', 'performance', 'casesBuild', 'science', 'tuning', 'field', 'engineering', 'LLMs', 'embeddings', 'concepts', 'systems', 'experience', 'ways', 'math', 'techniques', 'training', 'advancements', 'methodologies', 'fieldLeadership', 'tune', 'production', 'hyperparameters', 'products', 'leadership']",bachelor degree
Junior Data Scientist Engineer - US,2 days ago,Pattern Learning AI - Career & Tech Recruitment Reimagined!,https://www.linkedin.com/company/careerwithpatternlearning?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY 2 days ago",https://www.linkedin.com/jobs/view/junior-data-scientist-engineer-us-at-pattern-learning-ai-career-tech-recruitment-reimagined%21-3728172023?refId=4KjBAK%2BjhLG4RhaVmTqm3w%3D%3D&trackingId=OXB2Qmc1gePE5J5CKP%2BPbA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,"['mission', 'problems', 'methods', 'technology', 'support', 'backgrounds', 'world', 'deadlines', 'spreadsheets', 'holidays', 'coworkers', 'work', 'people', 'days401(k', 'vacation', 'problem', 'organization']",bachelor degree
Research Data Analyst,2 days ago,"RecruitTalent, LLC.",https://www.linkedin.com/company/recruittalent?trk=public_jobs_jserp-result_job-search-card-subtitle,"Brooklyn, NY Actively Hiring 2 days ago",https://www.linkedin.com/jobs/view/research-data-analyst-at-recruittalent-llc-3727055796?refId=4KjBAK%2BjhLG4RhaVmTqm3w%3D%3D&trackingId=BOTTBB8T1wlsdepuy3Gn8w%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,"['Years', 'stakeholder', 'environment', 'program']",bachelor degree
$1500 Per Task - Data Entry Clerk Admin (Remote) Work From Home,2 days ago,All Things Monadnock,https://www.linkedin.com/company/all-things-monadnock?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY Be an early applicant 1 day ago",https://www.linkedin.com/jobs/view/%241500-per-task-data-entry-clerk-admin-remote-work-from-home-at-all-things-monadnock-3727391744?refId=4KjBAK%2BjhLG4RhaVmTqm3w%3D%3D&trackingId=8lLgccBuE%2FKcg7%2FvP1OluA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,[],high school
Entry-Level Data Scientist Engineer - US/Canada,2 days ago,Pattern Learning AI - Career & Tech Recruitment Reimagined!,https://www.linkedin.com/company/careerwithpatternlearning?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY Be an early applicant 10 hours ago",https://www.linkedin.com/jobs/view/entry-level-data-scientist-engineer-us-canada-at-pattern-learning-ai-career-tech-recruitment-reimagined%21-3729459844?refId=4KjBAK%2BjhLG4RhaVmTqm3w%3D%3D&trackingId=YDmrbvK0k7Ktj2HTToj6SQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,"['mission', 'problems', 'support', 'technology', 'backgrounds', 'world', 'deadlines', 'spreadsheets', 'holidays', 'coworkers', 'work', 'people', 'days401(k', 'vacation', 'problem', 'organization']",bachelor degree
Data Analyst,2 days ago,ASCAP,https://www.linkedin.com/company/ascap?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY 1 day ago",https://www.linkedin.com/jobs/view/data-analyst-at-ascap-3728649924?refId=4KjBAK%2BjhLG4RhaVmTqm3w%3D%3D&trackingId=4F%2Ffoos9cApeJm3oC1zeUQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,"['meetings', 'year', 'opportunity', 'participation', 'cost', 'planning', 'workplace', 'plans', 'environment', 'accommodations', 'experience', 'tables', 'location', 'decisions', 'candidate', 'program', 'choice', 'slicing', 'disability', 'years', 'individual', 'data', 'race', 'options', 'plan', 'employer', 'providers', 'reasons', 'dataFluent', 'employees', 'need', 'skills', 'optionsPlease', 'vaccination']",bachelor degree
Data Analyst Intern,2 days ago,Paul Bednar,https://www.linkedin.com/company/paul-bednar?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY 1 day ago",https://www.linkedin.com/jobs/view/data-analyst-intern-at-paul-bednar-3728603855?refId=4KjBAK%2BjhLG4RhaVmTqm3w%3D%3D&trackingId=uzjZ2HsUME2SMuwGQraeNQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,[],bachelor degree
AI/ ML Engineer,2 days ago,Hyqoo,https://www.linkedin.com/company/hyqoocom?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, United States Actively Hiring 8 hours ago",https://www.linkedin.com/jobs/view/ai-ml-engineer-at-hyqoo-3726251536?refId=4KjBAK%2BjhLG4RhaVmTqm3w%3D%3D&trackingId=aIXXZdbb6Kcmsd2W%2FDvaww%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,"['network', 'solution', 'talent', 'industry', 'platform', 'positions', 'technology', 'context', 'process', 'companies', 'time', 'source', 'engine', 'access', 'clients', 'data', 'hyper', 'market', 'client']",bachelor degree
Junior Part-time Data Manager,2 days ago,Smart Design,https://www.linkedin.com/company/smart-design?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, United States Be an early applicant 1 day ago",https://www.linkedin.com/jobs/view/junior-part-time-data-manager-at-smart-design-3728946474?refId=4KjBAK%2BjhLG4RhaVmTqm3w%3D%3D&trackingId=eH7os6ApmTqjabDDbtW6kg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,[],bachelor degree
